[Header]																																																																									
GSGX Version	1.9.0																																																																								
Report Date	4.4.2013 12:36:12																																																																								
Project	40413																																																																								
Group Set	40413																																																																								
Analysis	040413_nonorm_nobkgd																																																																								
Normalization	none																																																																								
[Control Probe Profile]																																																																									
TargetID	ProbeID	9269324046_A.AVG_Signal	9269324046_A.NARRAYS	9269324046_A.ARRAY_STDEV	9269324046_A.BEAD_STDERR	9269324046_A.Avg_NBEADS	9269324046_A.Detection Pval	9269324046_B.AVG_Signal	9269324046_B.NARRAYS	9269324046_B.ARRAY_STDEV	9269324046_B.BEAD_STDERR	9269324046_B.Avg_NBEADS	9269324046_B.Detection Pval	9269324046_C.AVG_Signal	9269324046_C.NARRAYS	9269324046_C.ARRAY_STDEV	9269324046_C.BEAD_STDERR	9269324046_C.Avg_NBEADS	9269324046_C.Detection Pval	9269324046_D.AVG_Signal	9269324046_D.NARRAYS	9269324046_D.ARRAY_STDEV	9269324046_D.BEAD_STDERR	9269324046_D.Avg_NBEADS	9269324046_D.Detection Pval	9269324046_E.AVG_Signal	9269324046_E.NARRAYS	9269324046_E.ARRAY_STDEV	9269324046_E.BEAD_STDERR	9269324046_E.Avg_NBEADS	9269324046_E.Detection Pval	9269324046_F.AVG_Signal	9269324046_F.NARRAYS	9269324046_F.ARRAY_STDEV	9269324046_F.BEAD_STDERR	9269324046_F.Avg_NBEADS	9269324046_F.Detection Pval	9269324046_G.AVG_Signal	9269324046_G.NARRAYS	9269324046_G.ARRAY_STDEV	9269324046_G.BEAD_STDERR	9269324046_G.Avg_NBEADS	9269324046_G.Detection Pval	9269324046_H.AVG_Signal	9269324046_H.NARRAYS	9269324046_H.ARRAY_STDEV	9269324046_H.BEAD_STDERR	9269324046_H.Avg_NBEADS	9269324046_H.Detection Pval	9269324046_I.AVG_Signal	9269324046_I.NARRAYS	9269324046_I.ARRAY_STDEV	9269324046_I.BEAD_STDERR	9269324046_I.Avg_NBEADS	9269324046_I.Detection Pval	9269324046_J.AVG_Signal	9269324046_J.NARRAYS	9269324046_J.ARRAY_STDEV	9269324046_J.BEAD_STDERR	9269324046_J.Avg_NBEADS	9269324046_J.Detection Pval	9269324046_K.AVG_Signal	9269324046_K.NARRAYS	9269324046_K.ARRAY_STDEV	9269324046_K.BEAD_STDERR	9269324046_K.Avg_NBEADS	9269324046_K.Detection Pval	9269324046_L.AVG_Signal	9269324046_L.NARRAYS	9269324046_L.ARRAY_STDEV	9269324046_L.BEAD_STDERR	9269324046_L.Avg_NBEADS	9269324046_L.Detection Pval
ERCC-00025-01	4120470	99	1	NaN	3.167	25	0.92468	104.9	1	NaN	3.224	31	0.64416	95.5	1	NaN	2.952	21	0.99221	96.4	1	NaN	2.91	19	0.97532	96.9	1	NaN	1.49	28	0.97273	101.8	1	NaN	1.671	20	0.91818	97.7	1	NaN	2.55	28	0.91039	102.2	1	NaN	2.797	15	0.91558	103.4	1	NaN	3.144	24	0.8987	105.5	1	NaN	3.618	22	0.71429	95.1	1	NaN	2.412	23	0.98312	100.2	1	NaN	3.247	22	0.87922
ERCC-00028-02	780445	96.9	1	NaN	3.236	20	0.97273	110.9	1	NaN	3.393	28	0.29481	104.8	1	NaN	3.169	21	0.6974	91.7	1	NaN	1.709	20	0.9987	102.1	1	NaN	2.875	23	0.85844	114.5	1	NaN	5.578	23	0.3013	115.3	1	NaN	5.335	19	0.0961	113.7	1	NaN	3.338	15	0.35844	104.1	1	NaN	2.987	23	0.87792	100.8	1	NaN	3.943	20	0.90909	98.7	1	NaN	2.082	22	0.88571	108.1	1	NaN	3.486	21	0.48442
ERCC-00031-02	1300039	98.7	1	NaN	2.961	26	0.93506	105.6	1	NaN	3.175	32	0.6026	100.9	1	NaN	3.435	25	0.87922	103.7	1	NaN	3.088	23	0.73377	109	1	NaN	3.918	28	0.45455	106.1	1	NaN	3.32	22	0.76494	101.1	1	NaN	3.089	18	0.77792	103.1	1	NaN	3.54	24	0.88701	103.6	1	NaN	3.077	26	0.89351	99.5	1	NaN	5.421	24	0.94416	95.1	1	NaN	1.929	31	0.98312	93.3	1	NaN	3.822	14	0.99481
ERCC-00033-01	4560477	105.9	1	NaN	4.379	17	0.5974	102.2	1	NaN	2.906	27	0.79221	98	1	NaN	3.272	28	0.95455	99.4	1	NaN	2.273	36	0.91948	101.7	1	NaN	2.594	25	0.86623	98.3	1	NaN	2.53	26	0.98442	103.4	1	NaN	3.646	29	0.64416	106.4	1	NaN	4.559	24	0.75844	99.2	1	NaN	4.134	15	0.97922	101.4	1	NaN	2.376	18	0.89351	106	1	NaN	4.737	19	0.43636	98	1	NaN	3.922	26	0.93636
ERCC-00034-02	5260497	106.4	1	NaN	4.465	25	0.58052	97.4	1	NaN	2.157	19	0.95455	101	1	NaN	3.42	17	0.87792	106	1	NaN	3.553	20	0.61299	102.6	1	NaN	3.27	21	0.84026	98.7	1	NaN	2.615	35	0.98312	94.5	1	NaN	3.287	18	0.97403	106	1	NaN	3.506	23	0.78182	103.5	1	NaN	3.817	19	0.8974	104.2	1	NaN	3.436	30	0.77403	96.4	1	NaN	1.905	24	0.95974	105.6	1	NaN	3.647	11	0.63507
ERCC-00035-02	2030731	104.5	1	NaN	3.629	27	0.68961	105.3	1	NaN	3.053	26	0.62208	111.7	1	NaN	4.444	22	0.28961	106.9	1	NaN	5.579	18	0.55974	108.5	1	NaN	3.887	23	0.49481	105.2	1	NaN	4.889	24	0.79221	100.1	1	NaN	3.648	26	0.82987	114.3	1	NaN	4.339	20	0.33247	106.2	1	NaN	3.016	20	0.8026	105.7	1	NaN	3.396	20	0.7039	99.5	1	NaN	2.884	24	0.83636	111.1	1	NaN	3.619	16	0.33377
ERCC-00039-01	6040278	100.7	1	NaN	3.398	29	0.87922	102.7	1	NaN	3.646	31	0.77143	101	1	NaN	3.396	17	0.87792	101.5	1	NaN	2.724	26	0.84156	103.7	1	NaN	5.176	15	0.78831	97.3	1	NaN	2.276	13	0.98961	96.2	1	NaN	3.253	18	0.95325	99.4	1	NaN	5.64	16	0.97013	102.1	1	NaN	2.409	28	0.93377	96.2	1	NaN	3.427	21	0.97922	108.8	1	NaN	4.093	19	0.2974	98	1	NaN	4.824	13	0.93636
ERCC-00040-01	6350025	108.6	1	NaN	3.452	25	0.46494	111.3	1	NaN	4.207	24	0.27922	109	1	NaN	3.934	25	0.44286	106.2	1	NaN	3.084	15	0.5987	105.6	1	NaN	4.027	20	0.67013	125	1	NaN	5.428	19	0.05714	105.9	1	NaN	3.829	22	0.48052	110.3	1	NaN	4.288	24	0.53896	108.2	1	NaN	3.369	17	0.68831	113.7	1	NaN	3.998	25	0.2987	98.8	1	NaN	3.113	22	0.87922	92.7	1	NaN	3.275	11	0.9974
ERCC-00041-01	2320315	100	1	NaN	2.285	41	0.89221	102.5	1	NaN	3.22	16	0.78312	108.1	1	NaN	3.708	20	0.49481	110.6	1	NaN	3.232	33	0.34935	103.3	1	NaN	3.562	24	0.80909	106.5	1	NaN	2.897	28	0.74286	103.8	1	NaN	3.826	25	0.60779	100.7	1	NaN	3.58	18	0.95065	109.5	1	NaN	3.156	27	0.62857	102.9	1	NaN	3.415	24	0.83636	99.7	1	NaN	3.522	21	0.82987	103.1	1	NaN	2.921	25	0.76494
ERCC-00042-01	7570685	96.7	1	NaN	4.238	18	0.97273	100.4	1	NaN	2.619	26	0.88831	101.2	1	NaN	3.805	21	0.86883	97	1	NaN	3.819	22	0.96494	104.1	1	NaN	3.423	22	0.76883	102.8	1	NaN	3.714	23	0.89221	94	1	NaN	2.972	30	0.97792	104.7	1	NaN	2.905	30	0.84805	100.5	1	NaN	2.135	33	0.96623	101.7	1	NaN	3.34	26	0.88182	99.4	1	NaN	1.769	15	0.84026	102.4	1	NaN	5.092	17	0.78961
